num_tokens,num_sents,avg_sentence_length,type_token_ratio,noun_ratio,verb_ratio,adj_ratio,adv_ratio,sentiment_polarity,extraversion_ratio,agreeableness_ratio,conscientiousness_ratio,neuroticism_ratio,openness_ratio
85,5,17,0.6235,0.1294,0.0706,0.1529,0.0588,0.1217,0.0,0.0,0.0118,0.0,0.0353
13,1,13,0.9231,0.0769,0.1538,0.2308,0.1538,0.9333,0.0,0.0,0.0,0.0,0.0
29,3,10,0.7931,0.2414,0.069,0.2759,0.0345,0.3965,0.0345,0.0,0.0345,0.0,0.069
98,7,14,0.6939,0.1633,0.0816,0.0816,0.0816,0.2575,0.0612,0.0612,0.0102,0.0,0.0714
108,5,22,0.6667,0.1574,0.1111,0.1296,0.0648,0.2356,0.0185,0.0,0.0,0.0,0.037
1,1,1,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
37,5,7,0.9189,0.1622,0.1351,0.1351,0.0541,0.2292,0.0,0.0,0.027,0.0,0.0
14,1,14,1.0,0.3571,0.0714,0.1429,0.0,0.5,0.0714,0.0,0.0,0.0,0.0
78,5,16,0.7564,0.1795,0.0513,0.1282,0.1026,0.2849,0.0128,0.0,0.0,0.0,0.0
64,5,13,0.7812,0.2031,0.0781,0.1406,0.0312,0.3333,0.0781,0.0312,0.0,0.0,0.0469
96,6,16,0.6354,0.1667,0.1042,0.1354,0.0729,0.4411,0.0104,0.0,0.0104,0.0,0.0312
113,8,14,0.6372,0.2035,0.0796,0.115,0.0796,0.2145,0.0265,0.0,0.0177,0.0,0.0177
110,6,18,0.7273,0.1909,0.1,0.1091,0.0636,0.4022,0.0273,0.0091,0.0,0.0,0.0273
112,7,16,0.625,0.1696,0.0714,0.1339,0.0446,0.152,0.0089,0.0,0.0089,0.0,0.0357
104,6,17,0.6442,0.1538,0.0769,0.0577,0.0962,0.1986,0.0096,0.0,0.0,0.0,0.0
67,4,17,0.7463,0.1642,0.0746,0.1343,0.0746,0.36,0.0299,0.0,0.0,0.0,0.0
79,7,11,0.8354,0.2658,0.0633,0.1139,0.1013,0.1484,0.0,0.0,0.0253,0.0,0.038
117,7,17,0.7179,0.2222,0.1026,0.1026,0.0342,0.3683,0.0171,0.0171,0.0085,0.0,0.0598
79,4,20,0.7595,0.1899,0.1266,0.0633,0.0759,0.1517,0.0253,0.0,0.0,0.0,0.0127
112,6,19,0.5804,0.1339,0.0893,0.0893,0.0982,0.1393,0.0179,0.0179,0.0179,0.0179,0.0357
105,7,15,0.7333,0.1905,0.1048,0.0667,0.0381,0.5143,0.0,0.0,0.0095,0.0,0.019
106,7,15,0.6604,0.1792,0.0755,0.1415,0.0472,0.3988,0.0094,0.0,0.0094,0.0,0.0283
17,2,8,1.0,0.2353,0.0588,0.1765,0.0,0.9333,0.0,0.0,0.0,0.0,0.0
113,5,23,0.7345,0.1681,0.0531,0.1504,0.0619,0.2785,0.0,0.0,0.0,0.0,0.0088
92,7,13,0.6957,0.1522,0.1087,0.0978,0.1087,0.3151,0.0109,0.0,0.0109,0.0,0.0435
106,6,18,0.6604,0.1415,0.0755,0.0849,0.0943,0.2944,0.0,0.0094,0.0094,0.0094,0.0094
68,5,14,0.8235,0.2206,0.0441,0.1618,0.0735,0.1098,0.0147,0.0147,0.0,0.0294,0.0147
109,5,22,0.633,0.1927,0.1101,0.0734,0.0459,0.241,0.0,0.0,0.0,0.0,0.0367
23,1,23,0.8696,0.0435,0.1304,0.1739,0.1304,0.625,0.0435,0.0435,0.0,0.0,0.0435
63,5,13,0.7143,0.1111,0.0794,0.1587,0.1111,0.1087,0.0159,0.0159,0.0317,0.0159,0.0
105,5,21,0.7143,0.1619,0.0762,0.1429,0.019,0.1952,0.019,0.0,0.0,0.0,0.0286
99,6,16,0.7475,0.1616,0.1212,0.1212,0.0404,0.2417,0.0,0.0,0.0,0.0,0.0303
114,5,23,0.6667,0.1404,0.0789,0.1228,0.0526,0.141,0.0088,0.0088,0.0088,0.0088,0.0175
107,7,15,0.7009,0.2056,0.0748,0.1308,0.0748,0.3141,0.0187,0.0,0.0,0.0,0.0093
109,10,11,0.7064,0.1376,0.0917,0.1468,0.0642,0.2377,0.0183,0.0,0.0092,0.0,0.0
107,6,18,0.7757,0.2523,0.0841,0.0935,0.0187,0.4075,0.0093,0.0093,0.0,0.0,0.0187
100,6,17,0.7,0.14,0.12,0.12,0.07,0.2536,0.02,0.0,0.0,0.0,0.04
106,7,15,0.6792,0.2358,0.1038,0.1132,0.0189,0.2519,0.0,0.0,0.0,0.0,0.0283
103,7,15,0.7087,0.2136,0.0583,0.1359,0.0485,0.2925,0.0,0.0,0.0,0.0,0.0194
101,6,17,0.6436,0.1782,0.0792,0.099,0.0396,0.2025,0.0,0.0,0.0,0.0,0.0297
92,5,18,0.6413,0.2391,0.1304,0.1087,0.0326,0.2806,0.0217,0.0,0.0109,0.0,0.0652
99,9,11,0.7172,0.1717,0.0808,0.1111,0.0808,0.2366,0.0202,0.0303,0.0101,0.0101,0.0606
3,1,3,1.0,0.3333,0.0,0.3333,0.3333,0.7,0.6667,0.0,0.0,0.0,0.0
42,5,8,0.9048,0.2143,0.0238,0.2143,0.1667,0.4301,0.0476,0.0,0.0238,0.0,0.0238
110,6,18,0.7091,0.1545,0.1273,0.1091,0.0818,0.3147,0.0091,0.0,0.0182,0.0091,0.0364
50,5,10,0.82,0.2,0.08,0.12,0.12,0.433,0.02,0.0,0.0,0.0,0.04
110,7,16,0.6545,0.1182,0.1091,0.1091,0.0727,0.4241,0.0,0.0,0.0273,0.0,0.0273
48,5,10,0.7708,0.2917,0.0625,0.125,0.0,0.3235,0.0208,0.0,0.0208,0.0,0.0
111,5,22,0.7387,0.1261,0.0811,0.1441,0.0811,0.6315,0.009,0.009,0.0,0.0,0.045
108,5,22,0.6296,0.2222,0.0833,0.1111,0.0463,0.1631,0.0093,0.0,0.0,0.0,0.0278
111,5,22,0.7387,0.1802,0.1171,0.0991,0.0811,0.1816,0.009,0.0,0.0,0.0,0.027
101,8,13,0.7327,0.2475,0.0891,0.0891,0.0297,0.2083,0.0,0.0,0.0,0.0,0.0198
103,5,21,0.7476,0.1942,0.0971,0.1068,0.0388,0.4035,0.0,0.0,0.0,0.0,0.0097
114,6,19,0.693,0.2018,0.114,0.1404,0.0263,0.2954,0.0,0.0,0.0,0.0,0.0351
4,1,4,1.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
